segment,x1,y1,x2,y2,midpoint_x,midpoint_y,length_px,orientation_deg,total_angle_change_deg,average_angle_change_deg,curvature_rad_per_px,trajectory_pattern
166,476,621,502,640,489.0,630.5,32.202484376209235,143.84181456019166,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
208,569,620,583,637,576.0,628.5,22.02271554554524,129.47245984834382,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
76,486,627,497,648,491.5,637.5,23.706539182259394,117.64597536373867,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
294,317,645,335,659,326.0,652.0,22.80350850198276,142.1250163489018,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
259,324,653,347,654,335.5,653.5,23.021728866442675,177.51044707800085,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
136,740,638,768,644,754.0,641.0,28.635642126552707,167.9052429229879,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
187,331,666,335,646,333.0,656.0,20.396078054371138,78.69006752597979,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
220,799,632,812,657,805.5,644.5,28.178005607210743,117.47443162627712,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
217,719,659,736,643,727.5,651.0,23.345235059857504,43.264295411071615,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
255,822,659,830,640,826.0,649.5,20.615528128088304,67.16634582208245,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
262,628,669,637,643,632.5,656.0,27.51363298439521,70.90650799951439,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
93,749,666,756,642,752.5,654.0,25.0,73.73979529168804,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
17,692,668,706,645,699.0,656.5,26.92582403567252,58.67130713219584,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
213,747,665,756,645,751.5,655.0,21.93171219946131,65.77225468204583,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
201,570,670,590,658,580.0,664.0,23.323807579381203,30.96375653207352,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
168,609,681,632,659,620.5,670.0,31.827660925679098,43.72696997994329,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
23,483,686,497,670,490.0,678.0,21.2602916254693,48.81407483429036,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
280,625,669,640,683,632.5,676.0,20.518284528683193,136.97493401088198,11235.691610341057,36.361461522139344,0.004515340340311121,Curved trajectory - possible electron-like evidence
